,X10_14S_N_C_2,X11_14S_N_C_2,X12_14S_N_C_2,X13_14S_N_C_2,X14_14S_N_C_2,X15_14S_N_C_2,X16_14S_N_C_2,X17_14S_N_C_2,X18_14S_N_C_2,X19_14S_N_C_2,X20_14S_N_C_2
Otu1,0.0134994421718111,0.0217924879137226,0.0565265898103384,0.053328374860543,0.0323168464113053,0.0149126069170695,0.014020081814801,0.0368538490145035,0.0314243213090368,0.018110821866865,0.0358869468203793
Otu2,0.09029378951283,0.0393082930457419,0.0361472666418743,0.0396058014131647,0.0654146522870956,0.127965786537746,0.0325771662328003,0.0280401636296021,0.0248419486798066,0.0192264782447006,0.0127184827073261
Otu3,0.00531796206768315,0.00859055410933432,0.0155448121978431,0.018110821866865,0.0136481963555225,0.0107474897731499,0.00401636296020826,0.0153960580141316,0.0674600223131276,0.00632205280773522,0.00810710301227222
Otu4,0.0438452956489401,0.0464856824098178,0.0120119003346969,0.0137969505392339,0.0227593901078468,0.0269616957976943,0.017590182223875,0.014280401636296,0.00870211974711789,0.014801041279286,0.00695425808850874
Otu5,0.00702863518036445,0.00342134622536259,0.00126441056154704,0.000743770918557084,0.00297508367422834,0.00204537002603198,0.000595016734845668,0.0123094087021197,0.000185942729639271,0.000297508367422834,7.43770918557084e-05
Otu6,0.000185942729639271,3.71885459278542e-05,3.71885459278542e-05,0.00126441056154704,0,0,0,0,0,0,0
Otu7,0.00468575678690963,0.0190033469691335,0.00691706954258089,0.00286351803644477,0.00401636296020826,0.00197099293417627,0.0145779100037189,0.00624767571587951,0.00821866865005578,0.00650799553737449,0.00661956117515805
Otu8,0.00699144663443659,0.0134622536258832,0.0115656377835627,0.0152473038304202,0.0103012272220156,0.00710301227222016,0.0170323540349572,0.0117143919672741,0.0184827073261435,0.00896243956861287,0.0162513945704723
Otu10,0.00788397173670509,0.00119003346969134,0.000297508367422834,0.0013015991074749,0.00215693566381554,0.00137597619933061,0.035961323912235,0.00394198586835255,0.0240981777612495,0.00647080699144663,0.0115656377835627
Otu11,0.00866493120119003,0.0105987355894385,0.00621048716995165,0.0039791744142804,0.00624767571587951,0.00687988099665303,0.00669393826701376,0.00453700260319821,0.00383042023056898,0.00453700260319821,0.00282632949051692
Otu12,0.00442543696541465,0.00479732242469319,0.00293789512830048,0.00312383785793975,0.00461137969505392,0.00647080699144663,0.00297508367422834,0.00680550390479732,0.0070658237262923,0.0065823726292302,0.00628486426180736
Otu13,0.0140944589066568,0.00717738936407586,0.00595016734845668,0.00286351803644477,0.0121978430643362,0.0310896243956861,0.00583860171067311,0.00780959464484939,0.00502045370026032,0.00732614354778728,0.00345853477129044
Otu14,0.0034957233172183,0.018110821866865,0.0860914838229825,0.00661956117515805,0.00457419114912607,0.00152473038304202,0.00182223875046486,0.000595016734845668,0.000780959464484939,0.00156191892896988,0.000632205280773522
Otu15,0.00137597619933061,0.0083674228337672,0.00107846783190777,0.000520639642989959,0.00104127928597992,0.00026031982149498,0.00788397173670509,0.00364447750092971,0.0133134994421718,0.00182223875046486,0.00423949423577538
Otu16,0.00249163257716623,0.00226850130159911,0.00200818148010413,0.00107846783190777,0.00230568984752696,0.00159910747489773,0.00111565637783563,0.00330978058757903,0.0107846783190777,0.00312383785793975,0.00338415767943473
Otu17,0.00156191892896988,0.00133878765340275,0.00174786165860915,0.000929713648196356,0.00119003346969134,0.000669393826701376,0.00104127928597992,0.0039791744142804,0.0498698400892525,0.00145035329118631,0.00171067311268129
Otu18,0.00200818148010413,0.00557828188917813,0.00252882112309409,0.00665674972108591,0.00275195239866121,0.000669393826701376,0.00360728895500186,0.00587579025660097,0.00721457791000372,0.00684269245072518,0.0115656377835627
Otu19,0.00371885459278542,0.00159910747489773,0.00148754183711417,0.000892525102268501,0.00215693566381554,0.00319821494979546,0.00182223875046486,0.00371885459278542,0.00152473038304202,0.00312383785793975,0.00379323168464113
Otu20,0.00119003346969134,0.00115284492376348,0.000148754183711417,0.00026031982149498,0.00115284492376348,0.000185942729639271,0.000185942729639271,0.00208255857195984,0.000223131275567125,0.000223131275567125,0.000111565637783563
Otu21,0.00200818148010413,0.00293789512830048,0.00821866865005578,0.00379323168464113,0.00405355150613611,0.00330978058757903,0.00278914094458907,0.00282632949051692,0.00330978058757903,0.00345853477129044,0.00342134622536259
Otu22,0.00163629602082559,0.00174786165860915,0.00211974711788769,0.00119003346969134,0.00200818148010413,0.00264038676087765,0.001785050204537,0.00327259204165117,0.00264038676087765,0.00238006693938267,0.00200818148010413
Otu23,0.000223131275567125,0.001785050204537,0.00401636296020826,0.00245444403123838,0.00156191892896988,0.000595016734845668,0.000483451097062105,0.000669393826701376,0.000297508367422834,0.000334696913350688,0.000371885459278542
Otu24,0.00520639642989959,0.00699144663443659,0.00777240609892153,0.00710301227222016,0.00647080699144663,0.00357010040907401,0.0088508739308293,0.00732614354778728,0.00766084046113797,0.0101524730383042,0.00725176645593157
Otu25,0.00211974711788769,0.00126441056154704,0.000446262551134251,0.00386760877649684,0.00096690219412421,0.000334696913350688,0.00234287839345482,0.00245444403123838,0.00405355150613611,0.00167348456675344,0.00357010040907401
Otu26,0.00159910747489773,0.00167348456675344,0.000780959464484939,0.00185942729639271,0.000446262551134251,0.000818148010412793,0.00148754183711417,0.00442543696541465,0.00271476385273336,0.00401636296020826,0.0052807735217553
Otu27,0.00405355150613611,0.00297508367422834,0.00717738936407586,0.00330978058757903,0.00550390479732242,0.00394198586835255,0.00412792859799182,0.00249163257716623,0.00312383785793975,0.00334696913350688,0.00234287839345482
Otu28,0.000371885459278542,0.000557828188917813,0.000409074005206396,0.000520639642989959,0.000409074005206396,0.000446262551134251,0.000148754183711417,0.00126441056154704,0.00111565637783563,0.001785050204537,0.000557828188917813
Otu29,0.000632205280773522,0.00327259204165117,0.00234287839345482,0.000557828188917813,0.000483451097062105,0.00026031982149498,0.0013015991074749,0.000929713648196356,0.000669393826701376,0.000855336556340647,0.000818148010412793
Otu30,0.000148754183711417,0.000892525102268501,0.000297508367422834,0.000111565637783563,0.000892525102268501,0.000223131275567125,0.000297508367422834,0.000855336556340647,0.000595016734845668,0.000929713648196356,0.000632205280773522
