,X10_22N_H_N_2,X11_22N_H_N_2,X12_22N_H_N_2,X13_22N_H_N_2,X14_22N_H_N_2,X15_22N_H_N_2,X16_22N_H_N_2,X17_22N_H_N_2,X18_22N_H_N_2,X19_22N_H_N_2,X20_22N_H_N_2
Otu10309,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0.00184842883548983,0.00184842883548983,0
Otu2209,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu969,0,0,0.00924214417744917,0.0055452865064695,0,0,0,0,0.00924214417744917,0,0
Otu542,0,0.00184842883548983,0,0,0,0,0,0.00369685767097967,0,0,0
Otu3226,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu1874,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu153,0.022181146025878,0,0.0055452865064695,0.0147874306839187,0.00369685767097967,0,0.00369685767097967,0,0,0.00184842883548983,0
Otu442,0,0,0,0,0,0,0,0,0,0,0.0129390018484288
Otu1042,0,0,0,0.0055452865064695,0,0,0.00184842883548983,0,0.00184842883548983,0,0
Otu210,0,0.00184842883548983,0.0055452865064695,0.00184842883548983,0,0,0.0129390018484288,0.0055452865064695,0.011090573012939,0.00739371534195933,0.0147874306839187
Otu1749,0.00184842883548983,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu15176,0,0,0,0.00369685767097967,0,0,0,0,0,0.00184842883548983,0
Otu3160,0,0,0,0,0,0,0.00369685767097967,0,0,0.00184842883548983,0
Otu3990,0,0.00369685767097967,0,0,0,0,0,0.00184842883548983,0,0,0
Otu896,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu276,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu174,0,0,0.00369685767097967,0.0314232902033272,0.00924214417744917,0.00184842883548983,0,0.00184842883548983,0.0055452865064695,0,0
Otu7254,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu2470,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu227,0,0,0,0,0.00184842883548983,0,0,0.00369685767097967,0,0,0
Otu305,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu3189,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu495,0,0,0.00184842883548983,0.0277264325323475,0.0499075785582255,0,0,0,0,0.00369685767097967,0
Otu1781,0,0,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu2156,0,0,0.00184842883548983,0,0,0,0,0,0.00184842883548983,0,0
Otu814,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu5262,0,0,0,0,0.00369685767097967,0,0,0,0,0,0
Otu7989,0.00184842883548983,0,0,0.00184842883548983,0,0,0,0.0203327171903882,0.00369685767097967,0.00739371534195933,0
Otu1414,0,0,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0
Otu531,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu183,0.00924214417744917,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu2118,0,0,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu2111,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu2135,0.00184842883548983,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu568,0,0,0,0,0.00369685767097967,0,0,0,0.00184842883548983,0.00184842883548983,0
Otu2814,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu4859,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu1689,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0
Otu3450,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu3142,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu3229,0,0,0,0,0.00184842883548983,0,0,0,0,0,0
Otu3602,0,0,0.00369685767097967,0,0,0,0,0,0,0,0
Otu6389,0,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0
Otu101,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu2533,0,0,0.00184842883548983,0.00184842883548983,0,0,0,0,0,0,0
Otu3921,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu724,0,0,0,0,0,0,0.00184842883548983,0,0.00369685767097967,0.0055452865064695,0
Otu1371,0,0,0,0.00184842883548983,0,0,0,0.00184842883548983,0.0055452865064695,0.00184842883548983,0
Otu312,0,0,0,0,0,0.00369685767097967,0.0129390018484288,0.011090573012939,0.00739371534195933,0,0
Otu6386,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu1153,0,0,0,0.0055452865064695,0.00369685767097967,0.00184842883548983,0.00184842883548983,0.00369685767097967,0.00369685767097967,0.00369685767097967,0.00369685767097967
Otu2258,0,0,0,0,0,0,0,0,0.00369685767097967,0.00369685767097967,0
Otu3862,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu1179,0,0,0,0,0,0,0.00369685767097967,0.00184842883548983,0.00184842883548983,0,0
Otu1865,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu7571,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu5542,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu13548,0,0,0,0,0,0,0,0,0.0129390018484288,0.00184842883548983,0.0055452865064695
Otu2885,0,0,0,0,0,0,0.00369685767097967,0,0,0,0
Otu3092,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu15103,0.0295748613678373,0,0.00739371534195933,0,0,0.00739371534195933,0.0055452865064695,0.00184842883548983,0,0.00184842883548983,0
