,X10_10N_H_N_1,X11_10N_H_N_1,X12_10N_H_N_1,X13_10N_H_N_1,X14_10N_H_N_1,X15_10N_H_N_1,X16_10N_H_N_1,X17_10N_H_N_1,X18_10N_H_N_1,X19_10N_H_N_1,X20_10N_H_N_1
Otu1514,0,0.00369685767097967,0.00184842883548983,0,0.00184842883548983,0.00184842883548983,0,0.0055452865064695,0.00184842883548983,0,0.00184842883548983
Otu53,0.022181146025878,0.0739371534195934,0.162661737523105,0.22735674676525,0.0351201478743068,0.0129390018484288,0.033271719038817,0.0868761552680222,0.0240295748613678,0.0720887245841035,0.0425138632162662
Otu5576,0.0055452865064695,0.00184842883548983,0,0,0.00184842883548983,0,0,0.0499075785582255,0,0,0
Otu143,0,0.0536044362292052,0.00184842883548983,0.022181146025878,0.0203327171903882,0.00184842883548983,0.0055452865064695,0.0462107208872458,0.00184842883548983,0.00184842883548983,0.00184842883548983
Otu52,0.077634011090573,0.0388170055452865,0.0850277264325323,0.0184842883548983,0.412199630314233,0.0184842883548983,0.0295748613678373,0.0129390018484288,0.033271719038817,0.0240295748613678,0.0147874306839187
Otu440,0.00184842883548983,0,0,0,0,0,0.00369685767097967,0,0.00184842883548983,0.00184842883548983,0
Otu9728,0.00924214417744917,0.0406654343807763,0.0369685767097967,0.0166358595194085,0.00369685767097967,0.00369685767097967,0.0369685767097967,0.022181146025878,0.118299445471349,0.055452865064695,0.231053604436229
Otu21,0.0924214417744917,0.207024029574861,0.101663585951941,0.158964879852126,0.158964879852126,0.1090573012939,0.171903881700555,0.11090573012939,0.131238447319778,0.0517560073937153,0.0425138632162662
Otu148,0,0.033271719038817,0,0.0055452865064695,0,0,0,0.0129390018484288,0.0055452865064695,0.0129390018484288,0
Otu1308,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu409,0,0.0240295748613678,0,0,0,0.00184842883548983,0.00369685767097967,0.0184842883548983,0.00924214417744917,0.00924214417744917,0.0258780036968577
Otu146,0.00369685767097967,0.0129390018484288,0.00184842883548983,0.00369685767097967,0,0.0425138632162662,0.0720887245841035,0.0240295748613678,0,0.0388170055452865,0.00369685767097967
Otu9266,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0.00184842883548983,0,0,0
Otu640,0,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0
Otu34,0,0,0,0.011090573012939,0,0.00184842883548983,0.0055452865064695,0,0.0240295748613678,0,0.077634011090573
Otu385,0.00184842883548983,0,0,0.00369685767097967,0.011090573012939,0,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983
Otu313,0,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0.00184842883548983,0.00369685767097967,0.00369685767097967
Otu105,0.00369685767097967,0,0.0314232902033272,0.0055452865064695,0,0,0.0184842883548983,0.0203327171903882,0.00369685767097967,0,0
Otu14969,0,0,0,0.00369685767097967,0,0.00184842883548983,0,0,0.00184842883548983,0,0.00184842883548983
Otu10360,0,0,0,0,0,0.0055452865064695,0,0,0,0,0
Otu290,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0.011090573012939,0,0,0.00184842883548983,0,0,0.00739371534195933
Otu277,0,0.0147874306839187,0,0.0055452865064695,0,0,0,0,0,0.00739371534195933,0.00184842883548983
Otu118,0.00184842883548983,0.0295748613678373,0.00369685767097967,0,0.0129390018484288,0,0,0.00184842883548983,0,0.00924214417744917,0.00924214417744917
