,X10_16N_H_N_1,X11_16N_H_N_1,X12_16N_H_N_1,X13_16N_H_N_1,X14_16N_H_N_1,X15_16N_H_N_1,X16_16N_H_N_1,X17_16N_H_N_1,X18_16N_H_N_1,X19_16N_H_N_1,X20_16N_H_N_1
Otu1514,0.00369685767097967,0.00184842883548983,0,0.0055452865064695,0.00369685767097967,0.00184842883548983,0.00739371534195933,0.0055452865064695,0.00184842883548983,0.00184842883548983,0
Otu53,0.011090573012939,0.00369685767097967,0.00739371534195933,0.0129390018484288,0.380776340110906,0.11275415896488,0.499075785582255,0.0147874306839187,0.00739371534195933,0.10720887245841,0.00924214417744917
Otu5576,0.0055452865064695,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0
Otu143,0.0277264325323475,0,0.00369685767097967,0.0129390018484288,0,0.011090573012939,0.00184842883548983,0.00739371534195933,0,0.00369685767097967,0
Otu52,0.0184842883548983,0.125693160813309,0.255083179297597,0.186691312384473,0.0388170055452865,0.00739371534195933,0.0480591497227357,0.0351201478743068,0.0757855822550832,0.022181146025878,0.0129390018484288
Otu9728,0.0314232902033272,0.00924214417744917,0.00739371534195933,0.00739371534195933,0,0.00369685767097967,0.00924214417744917,0.0129390018484288,0,0.011090573012939,0.144177449168207
Otu21,0.10720887245841,0.371534195933457,0.207024029574861,0.360443622920518,0.0184842883548983,0.229205175600739,0.0462107208872458,0.0499075785582255,0.0609981515711645,0.088724584103512,0.0499075785582255
Otu148,0.00184842883548983,0,0.00184842883548983,0,0,0,0.00184842883548983,0.00184842883548983,0,0,0.0055452865064695
Otu146,0.00184842883548983,0.00184842883548983,0,0.00739371534195933,0,0.00184842883548983,0,0,0.00184842883548983,0,0.00369685767097967
Otu640,0,0,0.00184842883548983,0.00739371534195933,0,0,0,0,0,0.0055452865064695,0
Otu34,0,0,0,0,0,0,0.0591497227356747,0.0868761552680222,0.0739371534195934,0.00739371534195933,0.0277264325323475
Otu385,0,0,0,0,0,0,0,0,0.00184842883548983,0.00369685767097967,0.0166358595194085
Otu313,0,0,0,0,0,0,0,0,0,0,0.00924214417744917
Otu105,0.00184842883548983,0,0,0,0,0.055452865064695,0.011090573012939,0,0,0,0
Otu14969,0,0,0.00184842883548983,0,0,0.022181146025878,0.00369685767097967,0.00369685767097967,0,0,0
Otu10360,0.0055452865064695,0.00184842883548983,0,0,0,0,0.00739371534195933,0,0,0.00369685767097967,0
Otu290,0.00184842883548983,0.00739371534195933,0.011090573012939,0.00924214417744917,0,0.0683918669131238,0,0,0,0.00184842883548983,0.00184842883548983
Otu277,0.0129390018484288,0.00739371534195933,0,0.0147874306839187,0,0,0,0,0,0.00184842883548983,0
Otu118,0.00739371534195933,0.00184842883548983,0.00924214417744917,0.00369685767097967,0,0,0,0,0.00184842883548983,0.00184842883548983,0.00369685767097967
Otu1169,0,0,0,0,0.00184842883548983,0,0,0,0,0,0
Otu7789,0,0,0,0,0,0.00184842883548983,0,0,0,0,0.00369685767097967
Otu882,0,0,0,0,0,0.00739371534195933,0.0055452865064695,0,0,0,0
Otu628,0,0,0,0,0,0,0,0,0,0.00184842883548983,0.0129390018484288
Otu808,0.00184842883548983,0,0.0166358595194085,0.0055452865064695,0.00184842883548983,0,0,0,0,0.00184842883548983,0.00739371534195933
Otu1753,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu823,0.00184842883548983,0.0055452865064695,0.0129390018484288,0.00369685767097967,0,0,0,0,0,0,0.00184842883548983
Otu11878,0.00184842883548983,0.00184842883548983,0.00369685767097967,0,0,0,0.00184842883548983,0,0,0,0
Otu56,0.0295748613678373,0,0,0,0,0,0.011090573012939,0.0166358595194085,0.0147874306839187,0.0295748613678373,0.0517560073937153
Otu9,0.055452865064695,0.00924214417744917,0.00739371534195933,0,0,0.0277264325323475,0.0425138632162662,0.0462107208872458,0.0277264325323475,0.151571164510166,0.319778188539741
Otu141,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu661,0.00739371534195933,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu327,0.00739371534195933,0.00184842883548983,0.00369685767097967,0,0,0,0,0,0.00184842883548983,0,0.00369685767097967
Otu571,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu1762,0,0,0.011090573012939,0,0,0,0,0,0.00184842883548983,0,0.00369685767097967
Otu353,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu380,0.00739371534195933,0.00924214417744917,0.022181146025878,0.00739371534195933,0,0.00924214417744917,0.00369685767097967,0.00184842883548983,0.00184842883548983,0.00739371534195933,0
Otu6658,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu48,0.00924214417744917,0.0480591497227357,0.0536044362292052,0.011090573012939,0.00184842883548983,0.0166358595194085,0.00369685767097967,0.011090573012939,0.0055452865064695,0.00369685767097967,0.0184842883548983
Otu322,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu25,0.0813308687615527,0.00924214417744917,0,0.00369685767097967,0.00184842883548983,0.0055452865064695,0,0.00369685767097967,0,0.00739371534195933,0
Otu4037,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu169,0.0147874306839187,0.00739371534195933,0.055452865064695,0.0369685767097967,0.00184842883548983,0.0425138632162662,0,0.00184842883548983,0.00369685767097967,0,0.00184842883548983
Otu9033,0.0129390018484288,0,0,0,0,0,0,0,0,0,0
Otu1629,0.00184842883548983,0.00369685767097967,0.0055452865064695,0,0,0.00924214417744917,0,0,0,0,0
Otu7609,0,0,0,0,0,0,0.00184842883548983,0,0.00184842883548983,0.0055452865064695,0
Otu1146,0.00184842883548983,0,0,0,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0,0.00369685767097967
Otu184,0.0129390018484288,0,0,0,0,0.0055452865064695,0,0.0055452865064695,0.00184842883548983,0.0147874306839187,0.00369685767097967
Otu293,0,0,0,0,0,0,0,0,0,0.0147874306839187,0.0055452865064695
Otu106,0,0,0,0.00184842883548983,0,0.0055452865064695,0.00184842883548983,0,0,0,0
Otu2054,0.011090573012939,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0,0,0
Otu273,0,0,0,0.00184842883548983,0,0.00184842883548983,0.0129390018484288,0.011090573012939,0,0.00184842883548983,0
Otu165,0.00739371534195933,0,0,0,0,0.00184842883548983,0,0.00369685767097967,0,0.0055452865064695,0
Otu383,0,0,0.0055452865064695,0.00739371534195933,0,0.0055452865064695,0.00184842883548983,0,0,0.00184842883548983,0
Otu354,0,0,0.00184842883548983,0,0,0,0,0,0.00184842883548983,0,0.011090573012939
Otu391,0,0.00184842883548983,0,0.0147874306839187,0,0,0,0,0.00184842883548983,0,0.0147874306839187
Otu13518,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0.0055452865064695
Otu103,0.0850277264325323,0.00184842883548983,0,0,0,0,0.0369685767097967,0.00924214417744917,0,0.0055452865064695,0
Otu129,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0.00184842883548983,0,0,0
Otu2612,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu159,0,0.158964879852126,0.00739371534195933,0.011090573012939,0,0,0.0055452865064695,0.00184842883548983,0,0,0
Otu920,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu265,0,0,0,0,0,0,0,0.00184842883548983,0,0.00184842883548983,0
Otu1674,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu191,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0.00369685767097967,0.00369685767097967,0,0
Otu407,0,0,0,0,0,0.00184842883548983,0,0,0,0,0.00184842883548983
Otu1345,0.00184842883548983,0,0,0,0,0,0,0,0,0,0
Otu192,0.00184842883548983,0,0,0,0,0.00184842883548983,0,0.00184842883548983,0,0.00369685767097967,0
Otu157,0,0,0,0.0055452865064695,0,0.0351201478743068,0.0055452865064695,0.00184842883548983,0.00184842883548983,0.0055452865064695,0
Otu17,0,0,0,0,0,0,0,0,0.0055452865064695,0,0.00739371534195933
