,X10_4N_H_N_2,X11_4N_H_N_2,X12_4N_H_N_2,X13_4N_H_N_2,X14_4N_H_N_2,X15_4N_H_N_2,X16_4N_H_N_2,X17_4N_H_N_2,X18_4N_H_N_2,X19_4N_H_N_2,X20_4N_H_N_2
Otu1514,0,0,0.00184842883548983,0,0,0.00739371534195933,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0
Otu53,0.0147874306839187,0.0184842883548983,0.458410351201479,0.146025878003697,0.00184842883548983,0.0295748613678373,0,0.0979667282809612,0.0203327171903882,0.0924214417744917,0.00739371534195933
Otu143,0.0166358595194085,0.00369685767097967,0.00739371534195933,0.055452865064695,0.00369685767097967,0.00369685767097967,0.377079482439926,0.00924214417744917,0,0.00184842883548983,0
Otu52,0.0055452865064695,0.10720887245841,0.0166358595194085,0.00184842883548983,0.00924214417744917,0.055452865064695,0.0055452865064695,0.0203327171903882,0.0351201478743068,0.0388170055452865,0.044362292051756
Otu440,0,0,0,0.00369685767097967,0,0.00369685767097967,0,0.00184842883548983,0.00184842883548983,0.00184842883548983,0
Otu9728,0.0203327171903882,0.0166358595194085,0.0258780036968577,0.033271719038817,0.0295748613678373,0.0351201478743068,0.00924214417744917,0.044362292051756,0.0536044362292052,0.0739371534195934,0.288354898336414
Otu21,0.011090573012939,0.0314232902033272,0.0295748613678373,0.0462107208872458,0.0277264325323475,0.136783733826248,0.00739371534195933,0.146025878003697,0.134935304990758,0.088724584103512,0.0683918669131238
Otu148,0.011090573012939,0.00184842883548983,0.00184842883548983,0.0203327171903882,0.00184842883548983,0.00739371534195933,0.0905730129390018,0.00369685767097967,0,0.0129390018484288,0
Otu1308,0.00739371534195933,0,0,0,0.00184842883548983,0.00369685767097967,0,0,0.00369685767097967,0.00184842883548983,0.00369685767097967
Otu409,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
Otu146,0.0166358595194085,0.00184842883548983,0.00184842883548983,0.00184842883548983,0,0.00369685767097967,0.0055452865064695,0.0536044362292052,0.00184842883548983,0.00739371534195933,0.00184842883548983
Otu4782,0,0,0,0.00184842883548983,0,0.00184842883548983,0,0,0,0,0
Otu640,0,0,0.00184842883548983,0,0,0.00369685767097967,0,0,0,0,0
Otu34,0,0,0,0,0.0166358595194085,0.0480591497227357,0,0,0,0.00184842883548983,0
Otu385,0.0129390018484288,0.0055452865064695,0,0,0,0,0.00184842883548983,0,0,0.00184842883548983,0
Otu313,0.00184842883548983,0,0,0,0.00739371534195933,0,0,0.00184842883548983,0,0.00739371534195933,0
