,Confidence,Group,Domain,Phylum,Class,Order,Family,Genus,Species
Otu13630,1,Eukaryota,Amoebozoa,Lobosa,Lobosa_X,Lobosa_XX,LKM74-lineage,LKM74-lineage_X,LKM74-lineage_X_sp.
Otu9443,0.809607135,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Pseudoperkinsidae,Anurofeca,
Otu5024,0.999999847,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Hylodesmus,Hylodesmus_singaporensis
Otu12379,0.999950929,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu6978,1,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,,,
Otu7008,0.999999664,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Alphamonaceae,Alphamonadea_ALPH2,Alphamonadea_ALPH2_sp.
Otu2830,0.994581584,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp.
Otu6378,0.995689758,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp.
Otu11982,0.964281708,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu11656,0.999848962,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Colpodellaceae,Colpodella,Colpodella_tetrahymenae
Otu1840,1,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Penardia-lineage,Penardia-lineage_X,Penardia-lineage_X_sp.
Otu9536,0.70627799,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,,,
Otu7217,0.711557638,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,,,,
Otu7407,0.720521529,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsidae_X,Allapsidae_X_sp.
Otu4626,0.998713498,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu14823,0.989444394,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.
Otu7072,0.950981143,Eukaryota,Excavata,Discoba,Heterolobosea,Heterolobosea_X,Heterolobosea_XX,Paravahlkampfia,Paravahlkampfia_ustiana
Otu7034,0.799749942,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,sm27-lineage,sm27-lineage_X,sm27-lineage_X_sp.
Otu9626,0.720172793,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,,
Otu13412,0.967013751,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,Limnofilidae_X,Limnofilidae_X_sp.
