,Kingdom,Phylum,Class,Order,Family,Genus,Species,Kingdom.Confidence,Phylum.Confidence,Class.Confidence,Order.Confidence,Family.Confidence,Genus.Confidence
817aaf91b23d761a5a37eb00cf2125bb,Archaea,Crenarchaeota,Nitrososphaeria,Group_1.1c,NA,NA,NA,1,1,1,1,1,1
cab1bc955caff1034b633bf8ff6ab128,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,0.5
c3a5e2566051d8a2932dae494cc47219,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,1
4bb0db10d6dfd21b9bcdb347b42b5e17,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.93,0.77,0.65,0.31,0.19,0.19
91813420cdd7a7d9ed1679ccfc2babe8,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.88,0.88,0.88,0.88,0.88
d512a45ac9db68bcd059dcdafaf0a861,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.92,0.92,0.92,0.87,0.87
f42b8ae267e52895f042ab6ef756ac82,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.99,0.74,0.21,0.21,0.21,0.21
d3f28a01c92ccca11a72f2b21c6279c8,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.82,0.82,0.81,0.68,0.68
f8b5ee61987f11fa1d278f9e14a9e070,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.91,0.61,0.61,0.59,0.33,0.33
6b3a562844fc5f7c307c3b59f607bdac,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.99,0.97,0.84,0.64,0.64,0.64
0165ded44fec94faadf0720f09d7c331,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,1,0.78,0.24,0.24,0.24,0.24
903c7a47a02f2dfdab13c94cd79da873,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.96,0.78,0.46,0.46,0.46,0.46
e37e9a3ab89128915b5b75a1e4732949,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,0.96
77a61553186e778259b3015a88fdc4a2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA,1,1,1,1,1,1
9cbe3fd02e553add171cdd690b2eae7c,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.99,0.78,0.2,0.2,0.2,0.2
035ba59d166ac1807aee0471101ed085,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.99,0.91,0.91,0.91,0.48,0.48
4ff6dfc227e1fadf3a44d1ba3f31c6c0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.74,0.74,0.74,0.58,0.58
69fdc728baba2b51d4b962a7641575fd,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,Candidatus_Nitrosotalea,NA,1,1,1,0.75,0.75,0.63
7899017fc84a72afe6316e7de9bca7e8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,0.8
fe1afff4634b4de9b26380e9f3c93dfa,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.98,0.98,0.98,0.87,0.87
db14dcb3065974bc3becfef764ff43c6,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.72,0.72,0.72,0.65,0.65
76e681861d9acf379509898ba112846e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.98,0.98,0.98,0.98,0.92,0.92
821891c461dfcdb4ea2e51a9b16e59b6,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera,NA,1,1,1,1,1,0.85
fa25e69d40b30c2c02580224421e5974,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.98,0.97,0.97,0.97,0.84,0.84
f5e0c96df901a03dd4d083c983219c82,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera,NA,1,1,1,1,1,0.78
997daee4cc47a88bb4885e19f6236849,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.84,0.84,0.83,0.7,0.7
0f0afd3783886d2df3542445140fac2e,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cenarchaeum,NA,1,1,1,1,1,0.88
c9c20dc28ca57dae0915a22368d34d58,Archaea,NA,NA,NA,NA,NA,NA,0.82,0.15,0.15,0.15,0.14,0.14
61bbd589696146657d369616e13f98ce,Archaea,Thermoplasmatota,Thermoplasmatota_cl,Thermoplasmatota_or,Thermoplasmatota_fa,NA,NA,0.97,0.85,0.59,0.59,0.59,0.59
be3300f0c2433f9fb250833124ec2ad5,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera,NA,1,1,1,1,1,1
48c7e3ab1449c4d26c6508651390481c,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.92,0.88,0.88,0.88,0.75,0.75
0521f4f0cdd28727fa731b41e4f70b09,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,1,1,1,1,1,1
88fa18eeb8d0cc5a0aec2b3ddbf61b1f,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.94,0.82,0.82,0.81,0.63,0.63
5d83ccd708f4be59b1eeeed5998649fa,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Candidatus_Methanofastidiosum,NA,1,1,1,1,1,1
3a68453e999d51c9c61caeb3a2c46033,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.99,0.78,0.66,0.27,0.27,0.27
31b4313a50621a06a35dfe0092e44926,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,NA,NA,NA,0.96,0.81,0.66,0.53,0.28,0.26
1bb8fe9c8b0d47ebc961c7731bd5ee24,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,0.77
3a38a30b5775ecd9486a6a28f89a8b61,Archaea,Crenarchaeota,Nitrososphaeria,NA,NA,NA,NA,1,1,1,0.48,0.48,0.48
b9c094f228942c0d2231e6edb88c88d0,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,0.67
361ec473c3fd600624d9b8123fb4c401,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.93,0.93
a2a8f5925a8cf1f9438cbeec6150f076,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.75,0.75,0.75,0.46,0.46
1575a7efbedc6d57b82497642820cc42,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,1,1,1
b37f8b98724a007882cb3b19f111a2c2,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.94,0.7,0.7,0.7,0.63,0.63
15d6e3b113a418b065a2fdbdbe6ddbfc,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.96,0.96,0.96,0.96,0.86,0.86
7661521648b0cb69cfa1b8f27eae5892,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.99,0.87,0.87,0.87,0.82,0.82
7f32d3cdf062e5c3bb1d1e1df2122e53,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,1,1,1,1,1,1
b1f3e5ee4996b17e174d1c37399992cc,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,1,0.97,0.42,0.42,0.42,0.42
