,Kingdom,Phylum,Class,Order,Family,Genus,Species,Kingdom.Confidence,Phylum.Confidence,Class.Confidence,Order.Confidence,Family.Confidence,Genus.Confidence
f200e01d7f3427e2bafaf380ce9a8106,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.91,0.66,0.59,0.27,0.15,0.15
e797f39a4097d97a88f8acfbfb662fd0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.87,0.76,0.76,0.76,0.58,0.58
42887ced57c6e518a7edfa9b5e3a8864,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.96,0.96,0.96,0.9,0.9
eae423b197ce45d1a6dc97cd8d1b70fd,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.89,0.89
6c22104c27c6977a9975d536e2b76a37,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.65,0.65
4cac7cfdae3170352e35098932f4a7b3,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.95,0.95
eb452bfd371f80395dbf82d27a59e3d0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.96,0.96,0.96,0.91,0.91
2dc7302be56d1f51a410d8741e6d9f06,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,NA,1,1,1,1,1,1
3fd51405d85186a9c03b6d65765e9e33,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.93,0.93,0.93,0.8,0.8
b4839bacf9f0f7b6594084eb16719d89,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.99,0.99,0.99,0.92,0.92
e6ccdf6ed504420a9de8bbc48958d15b,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.95,0.95,0.95,0.77,0.77
31430206310b6d35575fcceaf8be91fc,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.96,0.96,0.96,0.78,0.78
d31ef36f2440ca63254063e03e6ed4ad,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.82,0.75,0.75,0.75,0.55,0.55
a5965b4e00b24ac8a20fa0d9ec047098,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.99,0.97,0.97,0.97,0.96,0.96
761531112126e27fad772b4a64e393fd,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.96,0.96,0.96,0.94,0.94
32693808306708a257d8ab78886acb74,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.78,0.78
e3f19e21b7d985f98b9813730188cf04,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,CG1-02-32-21,NA,NA,0.86,0.65,0.65,0.65,0.58,0.58
cc7dc0eed0102c79875e33f696a3ba55,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.88,0.83,0.83,0.83,0.43,0.43
65f8c51c5579d56d8546480f2f4f96aa,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.99,0.99,0.99,0.79,0.79
78e56424000bd90fc1e8fd3a07ea9ba0,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,1,1,1,1,1,1
5cdd203dc9e3fa2902b0e52ea8fb3741,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.88,0.88,0.88,0.71,0.71
174d63e1870137c651673de532eae6b8,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.97,0.96,0.96,0.96,0.84,0.84
75b94325d8b188369246a6feaa5df1dc,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.93,0.71,0.71,0.71,0.65,0.65
da0bc22db02dad261cd5c48b0d7429de,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.94,0.75,0.75,0.75,0.66,0.66
120147457b5be22bc3e787d1d3fc245e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,1,1,1,0.99,0.99
ca752d61632a5bf2e3a6cce20ada33bb,Archaea,Crenarchaeota,Nitrososphaeria,Group_1.1c,NA,NA,NA,1,1,1,0.7,0.7,0.7
befea3e60feef26d06b9a51daffb13bc,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.99,0.99,0.99,0.96,0.96
fa10e6c79a804eeda7e558006a9d2a1f,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Benthic_Group_D_and_DHVEG-1,NA,NA,NA,1,1,1,1,1,1
b5fb363d8923cfcbe1174110b892825c,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.92,0.92,0.92,0.89,0.89
40fbe768972fd2f4678ce698f60c344f,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.93,0.93
99093f5ec9269e0cbd7ab5714f048e5c,Archaea,Crenarchaeota,NA,NA,NA,NA,NA,0.89,0.75,0.31,0.31,0.31,0.31
42630332816d3e4d9d573422ae94d067,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,1,1,1,1,1,1
263e2a241b1b1b7035fae28bd74229b7,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.83,0.77,0.77,0.77,0.51,0.51
4618d42af4b61ef322d9cc260f34b51c,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.98,0.9,0.9,0.9,0.82,0.82
b64139b6f9d9879beda45492aeef8ad1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.91,0.91,0.91,0.85,0.85
2cf35696506ffeef611b33de5c698f85,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.87,0.87,0.87,0.8,0.8
24524a3d6bf62d97f9251f1a4ae849d4,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.99,0.76,0.19,0.19,0.19,0.19
f64bd537254db55c8c541c74f2f98ebe,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.88,0.88,0.88,0.82,0.82
2520c72abe4905d30984d27e2242ca86,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,1,0.84,0.38,0.38,0.38,0.38
4a898167cb33973f254420a12019cec8,Archaea,NA,NA,NA,NA,NA,NA,0.81,0.35,0.18,0.12,0.12,0.12
fcbce1c6673c13d1b2573faeb0d1b189,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.85,0.85,0.85,0.85,0.85
cc9449e6a9da1f04d7864080e384efa8,Archaea,Crenarchaeota,Nitrososphaeria,NA,NA,NA,NA,1,1,1,0.44,0.44,0.44
a36722b37f40ba50964ee6caa107b28d,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.99,0.68,0.17,0.17,0.17,0.17
7a484bc2cf0b45f38800a4f839bfb86b,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,1,1,1,0.97,0.97
f2508e1d2efa9745b2db4a2305712bee,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus,NA,1,1,1,1,1,1
777251d3e78405e40de8dd3bc5a7582b,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA,NA,1,1,1,1,1,1
cbef336554d0dac7599bdf6f2ee1d732,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.9,0.9,0.9,0.85,0.85
e16f664229b072166d50d9b0481411ad,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.54,0.54,0.54,0.5,0.5
e58887d8aa6f43bec345b5555700c440,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.85,0.71,0.68,0.35,0.24,0.24
62aad6897a4204f598b36760f2b74067,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,0.99,0.99,0.99,0.89,0.89
959c7a60aa1a51f562b62cca9b527096,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA,NA,1,1,1,1,1,1
773944aa8a5c7cce3b2a83a4c4a6cf53,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.93,0.71,0.71,0.71,0.43,0.43
a678e5fc286b4a8649ee38cee24fd064,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.94,0.91,0.91,0.91,0.85,0.85
386a9c429bf72a9b8578c0b0ad840e0d,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.89,0.89,0.89,0.75,0.75
6b842a45f99363c00c2726280724274d,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,NA,NA,1,1,1,1,1,0.86
e1652f4d4e698a20c9c4a98b6c7cdad2,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.88,0.86,0.86,0.86,0.61,0.61
329c9ec0c06636821a9555457c674dcb,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.78,0.78,0.78,0.72,0.72
731665e36934add111b1b4ddedc323e5,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.81,0.61,0.61,0.61,0.55,0.55
0159ae40cc55dfdb2e96a3b674a1f89a,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,1,1,1,0.99,0.99,0.8
f0ac26c24dbb6e8ec5b23a6eaeaba915,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.98,0.98
e7989ed13d0d3d973d4fb00f188627b2,Archaea,NA,NA,NA,NA,NA,NA,0.88,0.29,0.19,0.18,0.18,0.18
d6996e630dd69f90ec0399927cd5cce7,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.96,0.93,0.93,0.93,0.61,0.61
43313abd457f05bee0b82816ae199a18,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,0.99,0.99,0.99,0.98,0.98
176343fb953f0964f8fb42d63aa76a4d,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.92,0.76,0.76,0.76,0.65,0.65
e936041b6c4c7b13eaeb2d3a293b9e17,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.87,0.85,0.85,0.85,0.62,0.62
1171e6169d6a0e5b051b0555feecdb40,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.88,0.88,0.87,0.8,0.8
fbe22df4483c71d79cd8e37e1ae84a5f,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.96,0.96,0.96,0.96,0.81,0.81
cd9e8140ca267e4d5f021c06c976e8e5,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.98,0.95,0.95,0.95,0.84,0.84
35dab21517e9c7a1bc4eae0a5e2ee495,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.77,0.77,0.77,0.65,0.65
d4d01d02fa60bf228a8079b7962509a8,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.99,0.99
1885ee164043f49814687cb16c4ce2eb,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.82,0.82,0.82,0.49,0.49
51af06a440585f51648b87694a995c24,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.93,0.78,0.58,0.5,0.5,0.5
354ac9f6e2856a8c1caa989d03e4acb8,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.97,0.97,0.97,0.81,0.81
54b59289611a53e3a8bf2f3e897f9d69,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,0.99,0.99,0.99,0.77,0.77
d551e3b8535bd3c22cd744103b184c4c,Archaea,Micrarchaeota,Micrarchaeia,Micrarchaeales,Micrarchaeales_fa,Candidatus_Micrarchaeum,NA,0.99,0.99,0.99,0.99,0.99,0.99
da6b7ac58d44261552d684b20b86ef67,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,NA,1,1,1,1,1,1
54fcc977a3064316f96f8d0b57217296,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.97,0.97
5bbe8d2d2eab721b2f0dad7b467f1152,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.57,0.57,0.57,0.51,0.51
56d5ea50dd80eb5804cc38568c1910a2,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.99,0.91,0.59,0.42,0.42,0.42
187991ac795bd2edbacbdb52e8bffb4b,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosotenuis,NA,1,1,1,1,1,1
46bb27d3d5d637dbc923dbf94c6c248e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.79,0.79,0.79,0.43,0.43
103cfded5a96dbe9f04e4bf12adfcd1b,Archaea,Crenarchaeota,Nitrososphaeria,Group_1.1c,NA,NA,NA,1,1,1,0.84,0.84,0.84
6fe7e9d5770c2c3f0bc7ad92ee85a03c,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,0.99,0.99,0.99,0.76,0.76
a5472d9dede7179a8b8100c9a09d0283,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.95,0.95,0.95,0.41,0.41
b83bf502fc04d86e2b08955320547250,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.99,0.74,0.63,0.46,0.45,0.45
da257e2a3cb8c917abba7eaffc5e3ae9,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.98,0.98,0.98,0.98,0.78,0.78
b92263550db3d38254ede7c6a38b1793,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011,AR15,NA,1,1,1,1,0.87,0.87
ddfe5adca3e377fc481b6bd7f19c4d3b,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.98,0.98,0.98,0.95,0.95
0d64403bf6ebbca7e5c15e079c005183,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.99,0.74,0.58,0.4,0.4,0.4
672721ec96eca9054c31baa9d2f9eb33,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.93,0.93,0.93,0.91,0.91
162e77f9999e0df74ce0e1bb7a2094e3,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.93,0.85,0.85,0.85,0.74,0.74
a29b0b3974393d4d520b96196605b8f3,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.93,0.93,0.93,0.88,0.88
6966ad15d158ee27a63798311789664e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.97,0.97
7406138d0c01beedec718190cdd871a3,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.97,0.97,0.97,0.71,0.71
bde7b9d6059f79e09af106f97afa62eb,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.99,0.97,0.97,0.97,0.7,0.7
c62f7629c45a7a6073813416d06ffd4e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.99,0.99,0.99,0.81,0.81
34909b11626ac13015d83f1b64a36c38,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,1,1,1,1,1,1
f1b8627211ad0cfe635ee3a2af1445dd,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.76,0.76,0.76,0.55,0.55
8a680c4d7fe4f31744a91a3242e7df94,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.89,0.87,0.87,0.87,0.76,0.76
5d4ffec94875ba37aedf9ed11deb8b3f,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosotenuis,NA,1,1,1,1,1,1
80f9db42bc949f454cdd0ace5069c441,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.91,0.85,0.85,0.85,0.65,0.65
aefee3ddad423213b8ef2a242edcd890,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.99,0.72,0.52,0.17,0.17,0.17
cbf917f9372fbe69fe690c5559a3a587,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.9,0.88,0.88,0.88,0.64,0.64
548b2272048755131d54bad789b80dc7,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus,NA,1,1,1,1,1,0.88
56fa819894bafd0f3fe1cfca091c46dd,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.95,0.93,0.93,0.93,0.71,0.71
f2de39af644e2cd485aa9f2a86b58978,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.94,0.94
da9fcad9deff795ee2c468364a927de0,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,NA,1,1,1,1,1,0.79
b428fa2ab61367bd21158b61163821a0,Archaea,Crenarchaeota,Nitrososphaeria,Marine_Benthic_Group_A,NA,NA,NA,1,1,0.99,0.74,0.74,0.74
771a0102cc28bfc33ce15451a4136875,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.89,0.89,0.89,0.81,0.81
2ac87edadbb15419ccd0e0052a89e3a2,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.96,0.95,0.95,0.95,0.68,0.68
f79dbf832920e7c55a27f2740b4491b5,Archaea,NA,NA,NA,NA,NA,NA,0.87,0.32,0.32,0.32,0.32,0.32
809838d697059f1896f4706b28817612,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.88,0.88,0.88,0.85,0.85
4a1cb632b5ef781257e77c53bd713fbf,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.87,0.87,0.87,0.76,0.76
a22997882a7309462ca7a8d093661f24,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.97,0.97,0.97,0.43,0.43
f911768c0442d39e7fbf9068bd004172,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.99,0.99,0.99,0.68,0.68
2d3f79f016cb52321ac1ec1723dc605f,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.85,0.84,0.84,0.84,0.51,0.51
b1f3145bf22e701491a99404e40359d1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.91,0.86,0.86,0.86,0.7,0.7
d4d9e6269af73142d8499810448442a5,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,1,1,1,1,1
a01a7f0a212a486909f43133aa4cb3a6,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,Candidatus_Nitrosotalea,NA,0.99,0.99,0.98,0.56,0.56,0.5
af02d3f57a7cbacd7fd5b5d997b7279c,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,1,1,1,1,1
7c381c36aeb9d0c478bdad860658b140,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.96,0.91,0.91,0.91,0.73,0.73
0f7a0abef9f047483eed129e9c341b05,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.98,0.75,0.66,0.22,0.22,0.22
f9569adfead15f37ce27ff0fdc2851e6,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.82,0.82,0.82,0.75,0.75
cc5786f7d721195585fed39bd2b6793f,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.73,0.73,0.73,0.67,0.67
06018a34fc437e4bc8e0c38deee1a36e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.95,0.94,0.94,0.94,0.79,0.79
90655772442b2256f96ea783ee8716d0,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.97,0.96,0.96,0.96,0.82,0.82
3e9e615c4872dfb482d42ae5d518d8d5,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.99,0.99,0.99,0.91,0.91
0625405c1b60c045860bb0e8ef08a908,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.69,0.69,0.69,0.33,0.33
a5f0f34ef6891bf494a536d269c31527,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.94,0.64,0.54,0.1,0.1,0.1
b1d011e72fb86ddef37bd2d7820b30c5,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA,1,1,1,1,1,0.55
98a4fb747bcf06ea3bdd5f8cedb45f73,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.76,0.76,0.75,0.59,0.59
ba3c6193430ddd0a0e42ab4e0a08dce1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.85,0.85,0.85,0.74,0.74
21fea6083e149bf2d4ed006adf4fc067,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.93,0.8,0.8,0.8,0.58,0.58
b8c0c6765e7e47c0fa5101742d21ca22,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.95,0.86,0.86,0.86,0.75,0.75
cb9fd990073a2d200fc36cbdd6557c25,Archaea,Thermoplasmatota,Thermoplasmata,NA,NA,NA,NA,0.97,0.81,0.75,0.25,0.25,0.25
9e98db8aba6b7416d12764a1d08c3f4c,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,1,0.98,0.98,0.98,0.95,0.95
ec935edfbda7e43571801088b4c6d113,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.97,0.91,0.91,0.91,0.76,0.76
e7c8f4de4d243bcf3788c7b152a91c34,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.99,0.99,0.99,0.99,0.83,0.83
57e672a189d0bd0e4d84cb40bc6392dc,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.98,0.98,0.98,0.98,0.79,0.79
856b767ecd4e73b36928d8653c24bb28,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,0.91,0.91
f105d4ebb36f3cf113a06925570be683,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.96,0.96,0.96,0.8,0.8
c4a8c58b0da1ef6c4508cb09ce483f23,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Benthic_Group_D_and_DHVEG-1,NA,NA,NA,1,1,0.96,0.87,0.87,0.87
b0fcc64f8239002c00abd919f58219d2,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.96,0.66,0.42,0.42,0.42,0.42
39a61bca4ec03af3ffaf310d64651d04,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,1,1,1,1,1,1
9b4cb9bd96210bb7747afa707a0d5207,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.96,0.88,0.88,0.88,0.78,0.78
f66eb19e0257075f69dc091b7a81d06f,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,0.99,0.99,0.98,0.96,0.96,0.72
b0b93bec6d07038c55c601899b7e0e0d,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.95,0.88,0.88,0.88,0.7,0.7
aa7f4635c86e4a242f1dbb6db8718fdd,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.94,0.89,0.89,0.89,0.69,0.69
3d94ed5503fb769cef3abe5d6eeb6e6d,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.72,0.72,0.72,0.53,0.53
40f55feb1eba4adfe392936cc1c09678,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.95,0.94,0.94,0.94,0.92,0.92
bee6758cab1b4467c5f9e6fad303f2cb,Archaea,Thermoplasmatota,NA,NA,NA,NA,NA,0.97,0.73,0.17,0.17,0.17,0.17
44e55655fd79b1ace49292c52cbeeea4,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,NA,NA,NA,0.98,0.97,0.97,0.97,0.43,0.43
25fd79b6dfffb02c7d764b15c96de44e,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011_GWC1_47_15,NA,NA,0.96,0.93,0.93,0.93,0.72,0.72
e24c31d084496fbec13083c9aac4849d,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA,1,1,1,1,1,0.48
