,X10_5S_H_C_0,X11_5S_H_C_0,X12_5S_H_C_0,X13_5S_H_C_0,X14_5S_H_C_0,X15_5S_H_C_0,X16_5S_H_C_0,X17_5S_H_C_0,X18_5S_H_C_0,X19_5S_H_C_0,X20_5S_H_C_0
Otu6747,0,0,0.0018796992481203,0,0.00093984962406015,0,0,0.00093984962406015,0,0,0
Otu1508,0,0,0,0,0,0.00093984962406015,0,0,0,0,0
Otu4325,0,0,0,0.00093984962406015,0,0,0,0,0,0,0
Otu860,0,0,0,0,0,0,0,0.0018796992481203,0.00093984962406015,0,0
Otu873,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0.0018796992481203,0
Otu1597,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu3122,0,0,0.0018796992481203,0,0,0,0,0,0,0,0
Otu1425,0,0.00281954887218045,0.00845864661654135,0.0018796992481203,0.00093984962406015,0,0,0.0018796992481203,0,0,0
Otu2657,0,0.00093984962406015,0,0,0,0,0,0,0,0,0.00093984962406015
Otu2210,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu1613,0.00093984962406015,0,0,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015
Otu5377,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu903,0,0.0018796992481203,0,0.00093984962406015,0,0,0,0,0,0.0056390977443609,0.0018796992481203
Otu3681,0,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0,0
Otu3132,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu1569,0.00093984962406015,0,0,0,0,0,0,0,0.00281954887218045,0,0
Otu770,0,0.00093984962406015,0.0075187969924812,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0,0,0,0.0018796992481203
Otu11839,0,0,0,0,0,0,0,0.0018796992481203,0.0018796992481203,0,0
Otu2432,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu755,0.0018796992481203,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0.0037593984962406,0
Otu2204,0,0,0.0018796992481203,0,0,0.00093984962406015,0,0.0018796992481203,0,0,0
Otu701,0,0,0,0,0,0.00281954887218045,0.00093984962406015,0,0.0018796992481203,0,0
Otu7323,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu362,0.00093984962406015,0.00281954887218045,0.0037593984962406,0,0.0018796992481203,0.00281954887218045,0.00281954887218045,0.0037593984962406,0.0018796992481203,0.00093984962406015,0
Otu916,0,0,0,0.00093984962406015,0,0,0.00093984962406015,0.00093984962406015,0,0,0
Otu1931,0.00093984962406015,0.0018796992481203,0,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0
Otu3739,0.0018796992481203,0.0037593984962406,0.00281954887218045,0.0018796992481203,0.0018796992481203,0.0263157894736842,0.0018796992481203,0.00281954887218045,0,0.0018796992481203,0
Otu1106,0,0,0.00093984962406015,0.00093984962406015,0,0.00093984962406015,0,0,0,0,0
Otu2842,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu2632,0,0.0018796992481203,0.00281954887218045,0.0018796992481203,0.0037593984962406,0.00093984962406015,0.00093984962406015,0,0,0.00093984962406015,0.0018796992481203
Otu10750,0.00093984962406015,0.0018796992481203,0,0,0,0,0,0,0,0,0
Otu237,0,0.00093984962406015,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0.00093984962406015,0.00469924812030075
Otu3166,0,0,0,0,0,0,0.00093984962406015,0,0,0,0
Otu508,0,0,0,0.0018796992481203,0,0,0,0,0.00093984962406015,0.0018796992481203,0
Otu767,0,0,0,0,0,0.0103383458646617,0.0018796992481203,0.00281954887218045,0.00281954887218045,0.0018796992481203,0
Otu1645,0,0,0,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015
Otu3106,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu459,0.00093984962406015,0,0,0,0,0,0.00093984962406015,0,0,0.0018796992481203,0
Otu334,0.0018796992481203,0,0,0,0,0.00469924812030075,0.00093984962406015,0,0,0.00093984962406015,0
Otu1601,0,0.00093984962406015,0,0.00093984962406015,0.00093984962406015,0,0,0,0,0,0
Otu741,0,0,0,0.0018796992481203,0,0,0,0,0,0,0
Otu1944,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu5094,0,0,0.00093984962406015,0,0,0,0,0,0,0,0
Otu4048,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu422,0,0.00093984962406015,0,0,0,0,0,0.00093984962406015,0,0,0
Otu8260,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu351,0,0,0,0,0,0,0,0,0.0018796992481203,0,0
Otu1809,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
