,X10_16S_H_C_1,X11_16S_H_C_1,X12_16S_H_C_1,X13_16S_H_C_1,X14_16S_H_C_1,X15_16S_H_C_1,X16_16S_H_C_1,X17_16S_H_C_1,X18_16S_H_C_1,X19_16S_H_C_1,X20_16S_H_C_1
493564de8deafaaca9b2ed27d2b6920b,0.642948227492987,0.293930119867381,0.140015302218822,0.412394797245601,0.314078041315991,0.24407039020658,0.608008161183372,0.250318796225453,0.292782453455751,0.548201989288447,0.542336138740117
c0c154e05660037ec3b4a48f7b790364,0.0891354246365723,0.294950267788829,0.199948992603928,0.173807702116807,0.126880897730171,0.174572813057893,0.0303494006630961,0.131344044886509,0.0876052027543994,0.0262688089773017,0.166666666666667
646d5b9062b22a1e3a1ec1986a855f62,0.0170874776842642,0.0795715378729916,0.0911757204794695,0.0506248406018873,0.0733231318541188,0.0823769446569753,0.0381280285641418,0.138995154297373,0.194083142055598,0.023463402193318,0.0558530986993114
3be82cf832cada69d2385e3ae4d148a9,0.0872226472838562,0.0303494006630961,0.06516194848253,0.0892629431267534,0.0340474368783474,0.126243305279265,0.122290232083652,0.0923233868910992,0.155827595001275,0.0930884978321857,0.0511349145626116
9d7af83a1e2fc91556d87b6865292a9a,0.031752104055088,0.0724305024228513,0.0102014792144861,0.0622290232083652,0.0281815863300179,0.0309869931140015,0.0110941086457536,0.0211680693700587,0.0151747003315481,0.0149196633511859,0.0383830655445039
7cfc4db5e6907cc0ca798828dfa8bf51,0.000127518490181076,0.000255036980362153,0.000637592450905381,0,0.000510073960724305,0,0,0,0,0,0
23a112a9a135efefb7832a8891209e74,0.0580209130323897,0.0942361642438154,0.349400663096149,0.10188727365468,0.307447079826575,0.222137209895435,0.0906656465187452,0.204157102779903,0.13504208110176,0.14932415200204,0.0539403213465953
30663607798226a8669ca7c6e3deb903,0.0271614384085692,0.0196378474878857,0.0239734761540423,0.0289466972711043,0.0308594746238205,0.0364702881917878,0.0408059168579444,0.0391481764855904,0.0382555470543229,0.0643968375414435,0.0357051772507014
7860130e7d02cabbef9dc43635bf2bf3,0.00293292527416475,0.00395307319561336,0.0116041826064779,0.00688599846977812,0.00612088752869166,0.0164498852333588,0.00420811017597552,0.00905381280285641,0.0048457026268809,0.00280540678398368,0.00140270339199184
692d7ee2bb2bddb29ea7c71a17e961a2,0,0,0,0,0,0,0.000127518490181076,0,0,0,0
03f210497c0c675e81fcbb852d4ce60e,0.000637592450905381,0.00867125733231319,0.00293292527416475,0.0026778882938026,0.0155572558020913,0.00408059168579444,0.00242285131344045,0.00612088752869166,0.00395307319561336,0.0107115531752104,0.00994644223412395
